id,dataset,label,status,flags,review,reason,reviewer,figure,inspection_scope,review_meaning
echonet_lvh_24657dca58306dc0,echonet_lvh,PLAX 800x600,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_lvh_24657dca58306dc0.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_lvh_5d68166d53e7e5f8,echonet_lvh,PLAX 800x600,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_lvh_5d68166d53e7e5f8.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_lvh_8442fde4aa40235e,echonet_lvh,PLAX 1024x768,PASSTHROUGH,precropped,PASS,Existing sector preserved without an additional crop; no material new visual artifact at inspected scale.,assistant_visual_inspection,cases/echonet_lvh_8442fde4aa40235e.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_lvh_02907cc4ceb21209,echonet_lvh,PLAX 1024x768,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_lvh_02907cc4ceb21209.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_lvh_c6af06e00b18e433,echonet_lvh,PLAX 1024x768,PASSTHROUGH,precropped,PASS,Existing sector preserved without an additional crop; no material new visual artifact at inspected scale.,assistant_visual_inspection,cases/echonet_lvh_c6af06e00b18e433.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_dynamic_65eeaa7cb86174a6,echonet_dynamic,A4C 112,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_dynamic_65eeaa7cb86174a6.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_dynamic_e9977aca1011e859,echonet_dynamic,A4C 112,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_dynamic_e9977aca1011e859.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_dynamic_253bdfc84a7433e0,echonet_dynamic,A4C 112,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_dynamic_253bdfc84a7433e0.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_pediatric_ec2795c85edb3b30,echonet_pediatric,A4C 112 paediatric,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_pediatric_ec2795c85edb3b30.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_pediatric_2da49c476c883db0,echonet_pediatric,A4C 112 paediatric,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_pediatric_2da49c476c883db0.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_pediatric_d0b7a9333a42d623,echonet_pediatric,PSAX 112 paediatric,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_pediatric_d0b7a9333a42d623.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_pediatric_4f064a47d24ca2cc,echonet_pediatric,PSAX 112 paediatric,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_pediatric_4f064a47d24ca2cc.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
camus_b44ec4d9834df03f,camus,2CH quality=Medium,PASSTHROUGH,precropped,PASS,"Sector-only input preserved; orientation, visible boundaries and sampled temporal frames agree. No new crop.",assistant_visual_inspection,cases/camus_b44ec4d9834df03f.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
camus_fadaec5426192524,camus,2CH quality=Good,PASSTHROUGH,precropped,PASS,"Sector-only input preserved; orientation, visible boundaries and sampled temporal frames agree. No new crop.",assistant_visual_inspection,cases/camus_fadaec5426192524.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
camus_6bd0af2f39722390,camus,2CH quality=Poor,PASSTHROUGH,precropped,PASS,"Sector-only input preserved; orientation, visible boundaries and sampled temporal frames agree. No new crop.",assistant_visual_inspection,cases/camus_6bd0af2f39722390.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
camus_981d2350e6c238f2,camus,4CH quality=Good,PASSTHROUGH,precropped,PASS,"Sector-only input preserved; orientation, visible boundaries and sampled temporal frames agree. No new crop.",assistant_visual_inspection,cases/camus_981d2350e6c238f2.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
camus_3210f261a108459d,camus,4CH quality=Medium,PASSTHROUGH,precropped,PASS,"Sector-only input preserved; orientation, visible boundaries and sampled temporal frames agree. No new crop.",assistant_visual_inspection,cases/camus_3210f261a108459d.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
camus_3518ff05a734f881,camus,4CH quality=Poor,PASSTHROUGH,precropped,PASS,"Sector-only input preserved; orientation, visible boundaries and sampled temporal frames agree. No new crop.",assistant_visual_inspection,cases/camus_3518ff05a734f881.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
unity_24b50131b53951af,unity,still frame (raw screen),STATIC,static_only|manual_review_required,FAIL,Output intentionally retains the original screen for review; imaging-region cleanup remains unresolved.,assistant_visual_inspection,cases/unity_24b50131b53951af.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
unity_bdefb61b0cc5feb6,unity,still frame (raw screen),STATIC,static_only|color_outside_region|manual_review_required,FAIL,Output intentionally retains the original screen for review; imaging-region cleanup remains unresolved.,assistant_visual_inspection,cases/unity_bdefb61b0cc5feb6.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
unity_fc86dbff7f0169f8,unity,still frame (raw screen),STATIC,static_only|low_solidity|color_outside_region|manual_review_required,FAIL,Output intentionally retains the original screen for review; imaging-region cleanup remains unresolved.,assistant_visual_inspection,cases/unity_fc86dbff7f0169f8.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
unity_7cda63d7242f48fa,unity,still frame (raw screen),MULTI_REGION,multiple_regions|static_only|small_area|low_solidity|manual_review_required,FAIL,Dark static fan is fragmented; MULTI_REGION is a false positive on disconnected anatomy. Original retained safely; cleanup unresolved.,assistant_visual_inspection,cases/unity_7cda63d7242f48fa.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
unity_582ed785aebe2a63,unity,still frame (raw screen),STATIC,static_only|low_solidity|manual_review_required,FAIL,Output intentionally retains the original screen for review; imaging-region cleanup remains unresolved.,assistant_visual_inspection,cases/unity_582ed785aebe2a63.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
unity_78163c3df2f4022b,unity,still frame (raw screen),STATIC,static_only|low_solidity|manual_review_required,FAIL,Output intentionally retains the original screen for review; imaging-region cleanup remains unresolved.,assistant_visual_inspection,cases/unity_78163c3df2f4022b.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
samples_dicom_22340375674ff253,samples_dicom,public DICOM sample,STATIC,static_only|manual_review_required,FAIL,Output intentionally retains the original screen for review; imaging-region cleanup remains unresolved.,assistant_visual_inspection,cases/samples_dicom_22340375674ff253.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
samples_dicom_2427fdc82d90cd4c,samples_dicom,public DICOM sample,STATIC,static_only|manual_review_required,FAIL,Output intentionally retains the original screen for review; imaging-region cleanup remains unresolved.,assistant_visual_inspection,cases/samples_dicom_2427fdc82d90cd4c.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
samples_dicom_b7556a5414d5ed6b,samples_dicom,public DICOM sample,STATIC,static_only|manual_review_required,FAIL,Output intentionally retains the original screen for review; imaging-region cleanup remains unresolved.,assistant_visual_inspection,cases/samples_dicom_b7556a5414d5ed6b.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
samples_dicom_af5a66e40cd49d15,samples_dicom,public DICOM sample,STATIC,static_only|manual_review_required,FAIL,Output intentionally retains the original screen for review; imaging-region cleanup remains unresolved.,assistant_visual_inspection,cases/samples_dicom_af5a66e40cd49d15.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
samples_dicom_eb89e1fa39011987,samples_dicom,public DICOM sample,MULTI_REGION,multiple_regions|small_area|low_solidity|motion_not_captured|color_outside_region|manual_review_required,FAIL,"Static reference plus moving color panel correctly flagged MULTI_REGION; both preserved, but screen cleanup is unresolved.",assistant_visual_inspection,cases/samples_dicom_eb89e1fa39011987.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
camus_e59b7c6c17927765,camus,2CH MHD reader fixture,PASSTHROUGH,precropped,PASS,"Sector-only input preserved; orientation, visible boundaries and sampled temporal frames agree. No new crop.",assistant_visual_inspection,cases/camus_e59b7c6c17927765.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
ev9v_5df100fbe249b675,ev9v,3243-frame long cine,SUCCESS,color_outside_region,MINOR_ISSUE,"Main imaging region and sampled temporal content retained; major UI removed, with residual small markers near the sector edge.",assistant_visual_inspection,cases/ev9v_5df100fbe249b675.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
ev9v_fb3e1179f73d21f2,ev9v,existing JPEG frame sequence,LOW_CONFIDENCE,overlay_contact|low_solidity|color_outside_region|manual_review_required,FAIL,JPEG-derived sequence contacts overlay zones and has low solidity; original retained. Native FPS is unknown and display FPS is explicitly assumed.,assistant_visual_inspection,cases/ev9v_fb3e1179f73d21f2.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
